ID,stage1,stage2,stage3
1,10.07,16.51,25.92
2,10.07,16.86,26.22
3,10.03,17.25,10.72
4,10.03,17.61,18.48
6,10.02,18.36,53.49
7,10.02,18.73,45.65
8,10.02,19.10,88.08
9,10.02,19.47,89.29
10,10.02,19.84,78.02
11,10.02,20.21,78.38
12,10.02,20.59,77.59
13,10.02,20.95,66.10
14,10.02,21.33,62.86
15,10.37,21.51,68.49
16,10.37,21.13,69.27
17,10.37,20.76,73.29
18,10.35,20.40,79.20
19,10.34,20.02,76.06
20,10.37,19.64,88.49
21,10.37,19.27,89.75
22,10.37,18.90,88.89
23,10.36,18.55,48.83
24,10.36,18.16,48.46
25,10.36,17.80,54.77
26,10.36,17.42,13.40
27,10.38,17.06,8.81
28,10.38,16.69,30.76
29,10.38,16.33,29.15
30,10.70,16.14,27.48
31,10.70,16.51,26.68
32,10.70,16.88,14.66
33,10.68,17.25,15.01
34,10.68,17.62,47.23
35,10.66,17.98,46.84
36,10.66,18.35,41.31
37,10.66,18.73,33.70
38,10.66,19.10,109.33
39,10.66,19.46,85.97
40,10.66,19.82,91.41
41,10.68,20.19,91.81
42,10.68,20.58,80.79
43,10.68,20.96,79.97
44,10.70,21.32,62.51
45,10.68,21.68,59.29
46,10.99,21.86,60.47
47,10.99,21.48,68.03
48,10.99,21.11,75.21
49,10.99,20.73,79.52
50,10.99,20.37,86.86
51,10.99,20.00,87.62
52,10.96,19.63,108.92
53,10.96,19.26,103.51
54,10.96,18.88,110.97
55,10.96,18.50,35.67
57,10.98,17.78,46.04
58,10.98,17.41,52.79
59,11.00,17.05,13.02
60,11.00,16.68,14.24
61,11.00,16.31,30.02
62,11.00,15.93,30.38
63,11.34,15.75,28.31
64,11.32,16.13,27.05
65,11.32,16.50,16.69
66,11.32,16.86,6.84
67,11.33,17.24,50.39
68,11.30,17.60,49.24
69,11.30,17.97,39.27
70,11.28,18.34,36.55
71,11.28,18.70,33.27
72,11.28,19.08,110.19
73,11.28,19.45,105.18
74,11.31,19.81,107.71
75,11.31,20.19,94.31
76,11.31,20.55,83.99
77,11.31,20.93,74.88
78,11.31,21.31,74.46
79,11.31,21.67,59.71
80,11.31,22.05,61.32
82,11.62,21.85,64.87
83,11.62,21.49,67.66
84,11.62,21.10,80.40
85,11.62,20.73,83.57
86,11.62,20.36,93.44
87,11.62,20.01,107.25
88,11.62,19.63,108.52
89,11.62,19.25,105.99
90,11.62,18.87,108.11
91,11.62,18.49,36.88
92,11.62,18.14,38.11
93,11.62,17.78,38.49
94,11.62,17.40,47.64
95,11.62,17.05,50.78
96,11.64,16.67,11.72
97,11.64,16.30,25.45
98,11.66,15.93,19.58
101,11.97,15.74,27.88
102,11.97,16.12,20.84
103,11.97,16.48,13.79
104,11.97,16.85,10.87
105,11.95,17.23,46.38
106,11.95,17.59,43.58
107,11.93,17.97,42.02
108,11.93,18.34,32.91
109,11.93,18.70,34.94
110,11.92,19.08,106.81
111,11.94,19.45,109.80
112,11.94,19.82,103.06
113,11.94,20.19,104.79
114,11.94,20.55,94.73
115,11.94,20.93,82.37
116,11.94,21.29,76.41
117,11.94,21.67,66.48
118,11.94,22.04,65.32
121,12.27,21.85,60.10
122,12.27,21.48,67.29
123,12.27,21.11,81.59
124,12.27,20.74,87.24
125,12.27,20.36,93.08
126,12.27,20.01,106.43
127,12.27,19.62,105.58
128,12.27,19.25,102.24
129,12.27,18.89,44.41
130,12.27,18.53,34.49
131,12.27,18.14,36.12
132,12.29,17.79,39.69
133,12.29,17.40,49.61
134,12.29,17.04,56.78
135,12.29,16.66,17.17
136,12.29,16.29,24.63
137,12.29,15.93,20.44
139,12.63,15.75,22.54
140,12.61,16.12,29.55
141,12.61,16.48,17.99
142,12.61,16.86,8.05
143,12.59,17.22,50.03
144,12.59,17.60,48.02
145,12.59,17.96,44.85
146,12.59,18.34,45.26
147,12.58,18.70,34.13
148,12.58,19.09,101.41
149,12.58,19.46,86.43
150,12.58,19.83,104.37
151,12.58,20.17,92.26
152,12.58,20.56,92.69
153,12.58,20.93,82.03
154,12.58,21.31,74.07
155,12.58,21.67,65.70
156,12.58,22.04,70.86
157,12.91,21.84,64.49
158,12.91,21.47,63.68
159,12.91,21.11,75.59
160,12.91,20.75,71.29
161,12.91,20.38,96.42
162,12.91,20.01,93.93
163,12.93,19.65,110.62
164,12.93,19.27,98.54
165,12.93,18.89,40.84
166,12.93,18.53,42.88
167,12.93,18.16,42.47
168,12.93,17.78,54.39
169,12.93,17.41,53.14
170,12.95,17.06,9.69
171,12.95,16.67,12.58
172,12.95,16.31,23.77
173,12.95,15.95,24.18
174,13.28,16.12,22.13
175,13.28,16.49,28.75
176,13.26,16.87,10.09
177,13.26,17.24,11.37
178,13.26,17.62,52.00
179,13.23,17.97,51.21
180,13.23,18.35,43.25
